,Country,Year,Emission (MtCO2eq/yr)
0,GLOBAL TOTAL,2014-01-01,48930.176836513
1,GLOBAL TOTAL,2015-01-01,48808.767176475
2,GLOBAL TOTAL,2016-01-01,49058.441256192
3,GLOBAL TOTAL,2017-01-01,49878.733808628
4,GLOBAL TOTAL,2018-01-01,51026.627449023
5,GLOBAL TOTAL,2019-01-01,51278.347919753
6,GLOBAL TOTAL,2020-01-01,49327.538885203
7,GLOBAL TOTAL,2021-01-01,51568.250032106
8,GLOBAL TOTAL,2022-01-01,51968.471600641
9,GLOBAL TOTAL,2023-01-01,52962.900858703
10,China,2014-01-01,13295.500029221
11,China,2015-01-01,13118.895551577
12,China,2016-01-01,13105.715333499
13,China,2017-01-01,13362.31818392
14,China,2018-01-01,13955.693168511
15,China,2019-01-01,14275.53131678
16,China,2020-01-01,14497.89871659
17,China,2021-01-01,15175.619086802
18,China,2022-01-01,15159.641989692
19,China,2023-01-01,15943.986552905
20,United States,2014-01-01,6448.3313336273
21,United States,2015-01-01,6328.9979183693
22,United States,2016-01-01,6206.2848173014
23,United States,2017-01-01,6151.7723767192
24,United States,2018-01-01,6337.3996990075
25,United States,2019-01-01,6212.4567480117
26,United States,2020-01-01,5671.6044371377
27,United States,2021-01-01,5997.6507451719
28,United States,2022-01-01,6046.2157391416
29,United States,2023-01-01,5960.8043799939
30,India,2014-01-01,3270.3702489224
31,India,2015-01-01,3302.4875519042
32,India,2016-01-01,3355.6479276836
33,India,2017-01-01,3498.4020720892
34,India,2018-01-01,3661.865795595
35,India,2019-01-01,3642.4104433599
36,India,2020-01-01,3433.6189835655
37,India,2021-01-01,3679.8617761938
38,India,2022-01-01,3897.2089896012
39,India,2023-01-01,4133.5543557465
40,EU27,2014-01-01,3825.5283995756
41,EU27,2015-01-01,3879.7288390864
42,EU27,2016-01-01,3889.3770797945
43,EU27,2017-01-01,3912.2693347082
44,EU27,2018-01-01,3830.6588860948
45,EU27,2019-01-01,3678.0163944166
46,EU27,2020-01-01,3388.2787892799
47,EU27,2021-01-01,3577.0180188694
48,EU27,2022-01-01,3482.3104598826
49,EU27,2023-01-01,3221.7946148985
50,Russia,2014-01-01,2242.6721130807
51,Russia,2015-01-01,2257.6370999696
52,Russia,2016-01-01,2246.9399086934
53,Russia,2017-01-01,2298.1917113165
54,Russia,2018-01-01,2401.4942355773
55,Russia,2019-01-01,2482.834013397
56,Russia,2020-01-01,2395.6156064636
57,Russia,2021-01-01,2547.9553556568
58,Russia,2022-01-01,2621.5180167847
59,Russia,2023-01-01,2672.0394366031
60,Brazil,2014-01-01,1268.1342085136
61,Brazil,2015-01-01,1252.3052728243
62,Brazil,2016-01-01,1227.8324514738
63,Brazil,2017-01-01,1239.039909605
64,Brazil,2018-01-01,1216.0913220028
65,Brazil,2019-01-01,1220.4027164185
66,Brazil,2020-01-01,1215.9991466163
67,Brazil,2021-01-01,1294.5114654999
68,Brazil,2022-01-01,1298.4893548009
69,Brazil,2023-01-01,1300.1688666752
70,Indonesia,2014-01-01,907.28361907835
71,Indonesia,2015-01-01,907.31526363061
72,Indonesia,2016-01-01,902.77140476386
73,Indonesia,2017-01-01,957.37305784606
74,Indonesia,2018-01-01,1055.3390194771
75,Indonesia,2019-01-01,1108.7776968634
76,Indonesia,2020-01-01,1050.3391537597
77,Indonesia,2021-01-01,1077.0778380344
78,Indonesia,2022-01-01,1152.7260121441
79,Indonesia,2023-01-01,1200.1997867973
80,Japan,2014-01-01,1375.834083133
81,Japan,2015-01-01,1333.5836784813
82,Japan,2016-01-01,1331.3498243525
83,Japan,2017-01-01,1316.8112889211
84,Japan,2018-01-01,1276.5143002068
85,Japan,2019-01-01,1236.4920768073
86,Japan,2020-01-01,1168.7533725269
87,Japan,2021-01-01,1181.7695634668
88,Japan,2022-01-01,1107.575787389
89,Japan,2023-01-01,1041.0128248687
90,Iran,2014-01-01,806.41793121245
91,Iran,2015-01-01,801.40231760066
92,Iran,2016-01-01,847.11472836258
93,Iran,2017-01-01,875.39939845534
94,Iran,2018-01-01,865.53385640873
95,Iran,2019-01-01,876.71435534576
96,Iran,2020-01-01,889.28585763796
97,Iran,2021-01-01,931.6299738882
98,Iran,2022-01-01,960.49430778618
99,Iran,2023-01-01,996.7526808229
100,Saudi Arabia,2014-01-01,720.93361053924
101,Saudi Arabia,2015-01-01,752.73404163125
102,Saudi Arabia,2016-01-01,757.29251768446
103,Saudi Arabia,2017-01-01,752.53587973235
104,Saudi Arabia,2018-01-01,736.55308882043
105,Saudi Arabia,2019-01-01,738.50464332793
106,Saudi Arabia,2020-01-01,733.06349148116
107,Saudi Arabia,2021-01-01,751.18046526084
108,Saudi Arabia,2022-01-01,786.95522212063
109,Saudi Arabia,2023-01-01,805.15810845823
110,Canada,2014-01-01,760.41955545667
111,Canada,2015-01-01,755.90571945044
112,Canada,2016-01-01,750.60088210427
113,Canada,2017-01-01,770.47668017287
114,Canada,2018-01-01,794.17371289294
115,Canada,2019-01-01,788.00767857142
116,Canada,2020-01-01,711.93132362813
117,Canada,2021-01-01,728.26791422892
118,Canada,2022-01-01,745.24507928919
119,Canada,2023-01-01,747.67802680902
